,Brand,Model,Year_of_Manufacture,Fuel_Type,KMs_Driven,Location,Car_Age_Category,Price(in_Lakhs)
0,Mahindra,XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR,2022,Diesel,29705,Singasandra,New,26.95
1,Mahindra,XUV500 W7 AT,2018,Diesel,49131,Singasandra,Moderate,13.45
2,Tata,Nexon XZ Plus Diesel Dark Edition,2022,Diesel,12336,Singasandra,New,12.95
3,BMW,3 Series 320d Sport Line,2020,Diesel,44244,BTM Layout,Moderate,45.25
4,Maruti Suzuki,Ertiga ZXi AT,2021,Petrol,8412,Singasandra,Moderate,11.85
5,Tata,Nexon XMA,2020,Petrol,19361,Singasandra,Moderate,8.75
6,Maruti Suzuki,Ertiga ZXi AT,2019,Petrol,48486,Singasandra,Moderate,10.45
7,Tata,Nexon XZA Plus (S),2020,Petrol,35598,Singasandra,Moderate,10.5
8,Tata,Nexon XM,2017,Petrol,58047,Singasandra,Moderate,6.99
9,Mahindra,XUV500 W10 AT,2016,Diesel,76840,Singasandra,Old,12.99
10,Tata,Nexon XZA Plus,2020,Petrol,32901,Singasandra,Moderate,9.95
11,Maruti Suzuki,Ertiga VXi,2016,Petrol,38289,Singasandra,Old,7.95
12,Toyota,Fortuner 2.8 4x4 MT,2018,Diesel,51000,Hebbal,Moderate,31.99
13,Mahindra,XUV500 W10,2015,Diesel,77000,Hebbal,Old,11.7
14,Tata,Harrier XZ,2019,Diesel,56000,Adugodi,Moderate,14.4
15,Ford,EcoSport Titanium 1.5L Ti-VCT AT,2016,Petrol,18100,Adugodi,Old,7.29
16,Volkswagen,Vento Highline 1.2 (P) AT,2019,Petrol,48000,Adugodi,Moderate,9.41
17,Mahindra,Thar LX Hard Top Diesel MT 4WD,2023,Diesel,19000,Adugodi,New,18.45
18,Mahindra,XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR,2023,Diesel,9000,Binnamangala,New,27.25
19,Mahindra,Thar LX Hard Top Diesel MT 4WD,2023,Diesel,27409,BTM Layout,New,18.0
20,Ford,EcoSport Titanium 1.5L Ti-VCT AT,2017,Petrol,76000,Adugodi,Moderate,6.99
21,Honda,City V,2018,Petrol,59497,BTM Layout,Moderate,7.95
22,BMW,3 Series 320d Sport Line,2020,Diesel,44000,Hebbal,Moderate,41.75
23,Hyundai,Creta 1.6 SX Plus AT Petrol,2019,Petrol,31000,Hebbal,Moderate,13.75
24,Mahindra,Thar LX Hard Top Petrol AT,2022,Petrol,20000,Hebbal,New,16.45
25,Hyundai,Creta 1.6 SX Plus AT Petrol,2019,Petrol,46000,BTM Layout,Moderate,12.45
26,Maruti Suzuki,Ertiga ZXi AT,2019,Petrol,20000,Hebbal,Moderate,11.45
27,Toyota,Fortuner 4X4 AT 2.8 Diesel,2022,Diesel,67436,Kengeri Satellite Town,New,40.75
28,Toyota,Fortuner 4X2 AT 2.8 Diesel,2022,Diesel,55926,Kengeri Satellite Town,New,37.25
29,Ford,EcoSport Titanium + 1.5L Ti-VCT AT,2020,Petrol,20000,Hebbal,Moderate,10.45
30,Toyota,Fortuner 2.8 4x2 AT,2020,Diesel,45000,Hebbal,Moderate,37.25
31,Ford,EcoSport Titanium 1.0 Ecoboost (Opt),2019,Petrol,41000,Adugodi,Moderate,10.1
32,Tata,Nexon XZA Plus Petrol,2019,Petrol,31557,Bettahalsoor,Moderate,9.6
33,Renault,Kwid RXT Opt,2021,Petrol,28276,Bettahalsoor,Moderate,4.82
34,Honda,Brio VX AT,2014,Petrol,10857,Adugodi,Old,5.45
35,Volkswagen,Polo Comfortline 1.0L (P),2018,Petrol,56080,BTM Layout,Moderate,7.45
36,Kia,Sonet HTX 1.0 Turbo Petrol iMT,2023,Petrol,5000,Anand Nagar,New,11.75
37,Mahindra,XUV500 W11(O),2021,Diesel,79000,Hebbal,Moderate,18.75
38,Honda,Jazz V CVT Petrol,2018,Petrol,40000,Hebbal,Moderate,7.25
39,Mahindra,Thar LX Hard Top Diesel MT,2022,Diesel,8500,Hebbal,New,17.45
40,Mahindra,Thar LX Convertible Diesel AT,2020,Diesel,30000,Hebbal,Moderate,17.45
41,Hyundai,Creta E 1.5 Diesel,2021,Diesel,37000,Anand Nagar,Moderate,14.25
42,Kia,Seltos HTK Plus 1.5,2019,Petrol,33000,Anand Nagar,Moderate,11.25
43,Maruti Suzuki,Swift VXi,2012,Petrol,74000,Anand Nagar,Old,4.25
44,Honda,Jazz V AT Petrol,2018,Petrol,42215,BTM Layout,Moderate,7.25
45,Honda,Brio S MT,2013,Petrol,26000,Adugodi,Old,3.48
46,Tata,Nexon XZ Plus (HS) Diesel Dark Edition,2022,Diesel,31035,Banaswadi,New,10.99706
47,Tata,Nexon XZA Plus (O) Dual Tone,2020,Petrol,45096,Basapura,Moderate,10.28
48,Hyundai,Alcazar Signature (O) 6 STR 2.0 Petrol AT Dual Tone,2021,Petrol,43667,BTM Layout,Moderate,18.25
49,Renault,Duster Adventure Edition 85 PS RXL 4X2 MT,2017,Diesel,47008,BTM Layout,Moderate,8.25
50,Maruti Suzuki,Baleno Delta 1.2,2016,Petrol,34765,BTM Layout,Old,5.99
51,Hyundai,Tucson GL (O) 2WD AT Diesel,2019,Diesel,69740,Binnamangala,Moderate,18.75
52,Jeep,Compass Limited (O) 1.4 Petrol AT,2018,Petrol,35149,Binnamangala,Moderate,14.9
53,Volkswagen,Taigun GT Plus 1.5 TSI DSG,2022,Petrol,27468,Binnamangala,New,17.75
54,Mahindra,XUV500 W10 AWD AT,2018,Diesel,31847,BTM Layout,Moderate,16.25
55,Hyundai,Tucson GLS 4WD AT Diesel,2018,Diesel,32629,BTM Layout,Moderate,19.85
56,Hyundai,i20 Asta (O) 1.2 MT,2020,Petrol,26861,BTM Layout,Moderate,8.25
57,Tata,Nexon XZA Plus (O),2022,Petrol,13619,Basapura,New,12.6277
58,Tata,Nexon XZA Plus (O),2020,Petrol,38575,Basapura,Moderate,9.86
59,Tata,Nexon XZA Plus Petrol,2018,Petrol,24911,Anand Nagar,Moderate,8.95
60,Renault,Duster 110 PS RxL ADVENTURE,2014,Diesel,92821,Anand Nagar,Old,6.75
61,Tata,Tiago Revotron XZA,2017,Petrol,42312,BTM Layout,Moderate,5.65
62,Hyundai,i20 Asta (O) 1.2 MT,2022,Petrol,21771,Anand Nagar,New,9.75
63,Maruti Suzuki,Baleno RS 1.0,2017,Petrol,43388,Anand Nagar,Moderate,7.75
64,Volkswagen,Vento Highline Plus 1.0L TSI Automatic,2022,Petrol,29245,Anand Nagar,New,11.25
65,Maruti Suzuki,Ciaz Alpha Hybrid 1.5,2020,Petrol,38566,Anand Nagar,Moderate,9.45
66,Maruti Suzuki,XL6 Zeta MT Petrol,2022,Petrol,12165,Bettahalsoor,New,12.21
67,Maruti Suzuki,S-Presso VXi Plus,2020,Petrol,27076,Bettahalsoor,Moderate,4.98
68,Maruti Suzuki,Wagon R ZXi 1.2,2019,Petrol,38076,Bettahalsoor,Moderate,5.9
69,Hyundai,Elite i20 Sportz 1.2,2020,Petrol,18212,Bettahalsoor,Moderate,7.85
70,Hyundai,Venue SX Plus 1.0 Turbo DCT,2019,Petrol,36183,Bettahalsoor,Moderate,9.49
71,Hyundai,Grand i10 Magna 1.2 Kappa VTVT,2015,Petrol,67077,Bettahalsoor,Old,4.75
72,Maruti Suzuki,Vitara Brezza ZXi Plus,2020,Petrol,58782,Bettahalsoor,Moderate,9.25
73,Hyundai,Grand i10 Nios Magna 1.2 Kappa VTVT,2021,Petrol,34148,Bettahalsoor,Moderate,6.49
74,Hyundai,Alcazar Signature (O) 6 STR 1.5 Diesel AT,2021,Diesel,48708,Bettahalsoor,Moderate,18.95
75,Renault,Kiger RXL 1.0 Turbo MT,2021,Petrol,37705,Bettahalsoor,Moderate,7.75
76,Maruti Suzuki,Dzire ZXi Plus,2017,Petrol,21869,Bettahalsoor,Moderate,6.45
77,Toyota,Urban Cruiser Hyryder V Hybrid,2023,Hybrid,11613,Bettahalsoor,New,21.49
78,Tata,Harrier XZ,2019,Diesel,77400,Bettahalsoor,Moderate,13.99
79,Hyundai,Grand i10 Asta 1.2 Kappa VTVT,2018,Petrol,47378,Bettahalsoor,Moderate,6.25
80,Hyundai,Grand i10 Magna AT 1.2 Kappa VTVT,2017,Petrol,29885,Bettahalsoor,Moderate,5.75
81,Renault,Triber RXZ EASY-R AMT Dual Tone,2023,Petrol,5541,Bettahalsoor,New,8.25
82,Tata,Tiago Revotron XTA,2018,Petrol,50796,Bettahalsoor,Moderate,5.5
83,Hyundai,i20 Asta (O) 1.2 MT,2021,Petrol,14067,Anand Nagar,Moderate,10.25
84,Maruti Suzuki,XL6 Zeta MT Petrol,2021,Petrol,45932,Adugodi,Moderate,10.96
85,Volkswagen,Tiguan Highline TDI,2019,Diesel,67849,Adugodi,Moderate,25.75
86,Maruti Suzuki,Baleno Alpha Automatic,2019,Petrol,40663,Adugodi,Moderate,7.95
87,Skoda,Rapid Ambition 1.6 TDI CR MT,2018,Diesel,70925,Adugodi,Moderate,7.75
88,Hyundai,Verna SX 1.6 CRDi,2019,Diesel,88924,Anand Nagar,Moderate,10.25
89,Skoda,Rapid Style 1.5 TDI AT,2016,Diesel,68347,BTM Layout,Old,7.95
90,Tata,Safari XZ Plus New,2022,Diesel,17958,BTM Layout,New,22.95
91,Mahindra,Alturas G4 4WD AT,2021,Diesel,49582,Singasandra,Moderate,25.95
92,Mercedes-Benz,A-Class Limousine AMG 35 4MATIC,2022,Petrol,6000,Binnamangala,New,50.9
93,Mercedes-Benz,AMG A35 4MATIC,2022,Petrol,5000,Binnamangala,New,50.9
94,MINI,Cooper 1.6,2013,Petrol,29000,Binnamangala,Old,19.25
95,Mercedes-Benz,GLC Coupe 43 AMG,2018,Petrol,68000,Binnamangala,Moderate,52.9
96,Mercedes-Benz,GLS Grand Edition Diesel,2018,Diesel,75000,Binnamangala,Moderate,58.75
97,Audi,Q3 2.0 TDI quattro Premium Plus,2014,Diesel,72000,Binnamangala,Old,13.75
98,Mitsubishi,Pajero Sport 2.5 AT,2015,Diesel,95000,Binnamangala,Old,13.75
99,BMW,X3 xDrive-20d xLine,2016,Diesel,92000,Binnamangala,Old,26.5
100,BMW,X1 sDrive20d Expedition,2019,Diesel,50000,Binnamangala,Moderate,23.25
101,BMW,3 Series 320d Sport Line,2020,Diesel,44000,Binnamangala,Moderate,40.75
102,Mitsubishi,Pajero Sport 2.5 AT,2017,Diesel,75000,Binnamangala,Moderate,15.9
103,Hyundai,Tucson GLS 2WD AT Petrol,2021,Petrol,27000,Binnamangala,Moderate,23.9
104,MINI,Cooper S 1.6 High,2015,Petrol,36000,Binnamangala,Old,20.5
105,Mercedes-Benz,GLC 220 d Progressive,2017,Diesel,47000,Binnamangala,Moderate,40.45
106,Mercedes-Benz,GLC 43 AMG,2018,Petrol,68000,Binnamangala,Moderate,52.9
107,BMW,2 Series Gran Coupe 220d Sportline,2022,Diesel,15000,Binnamangala,New,36.75
108,Hyundai,Elite i20 Sportz Plus 1.4 CRDi,2019,Diesel,34401,BTM Layout,Moderate,8.75
109,Renault,Captur RXE Petrol,2019,Petrol,34692,Singasandra,Moderate,6.95
110,Toyota,Fortuner 4X2 AT 2.8 Legender,2022,Diesel,44675,Singasandra,New,48.75
111,Land Rover,Discovery Sport HSE Luxury 7-Seater,2015,Diesel,70000,Binnamangala,Old,29.75
112,BMW,5 Series 520d Sedan,2016,Diesel,68436,BTM Layout,Old,26.75
113,BMW,5 Series 530i Sport Line,2021,Petrol,11552,BTM Layout,Moderate,54.75
114,Mercedes-Benz,E-Class E 220d Expression,2017,Diesel,56272,BTM Layout,Moderate,38.55
115,BMW,2 Series Gran Coupe 220d M Sport,2022,Diesel,29828,BTM Layout,New,38.95
116,Mercedes-Benz,C-Class 220 CDI Sport,2014,Diesel,64494,BTM Layout,Old,14.75
117,BMW,X1 sDrive20d xLine,2020,Diesel,38138,BTM Layout,Moderate,33.75
118,BMW,X3 xDrive-20d xLine,2015,Diesel,76992,BTM Layout,Old,28.0
119,Volkswagen,Tiguan Elegance 2.0 TSI DSG,2021,Petrol,35442,BTM Layout,Moderate,31.75
120,Land Rover,Range Rover Evoque HSE Dynamic Petrol,2018,Petrol,33974,BTM Layout,Moderate,45.75
121,Land Rover,Range Rover Evoque Pure SD4,2015,Diesel,55188,BTM Layout,Old,31.65
122,Volkswagen,Jetta Trendline TDI,2013,Diesel,45731,BTM Layout,Old,8.75
123,Toyota,Camry Hybrid,2021,Hybrid,21400,BTM Layout,Moderate,39.75
124,Audi,Q3 2.0 TDI Base Grade,2014,Diesel,53000,BTM Layout,Old,13.99
125,Toyota,Innova Crysta 2.8 ZX AT 7 STR,2019,Diesel,131464,BTM Layout,Moderate,21.75
126,Toyota,Innova 2.5 G BS IV 7 STR,2015,Diesel,68785,Singasandra,Old,12.45
127,Kia,Seltos HTX IVT 1.5,2020,Petrol,27410,Singasandra,Moderate,14.75
128,Renault,Triber RXT EASY-R AMT,2020,Petrol,25779,Singasandra,Moderate,5.99
129,Volkswagen,Ameo Highline1.2L Plus (P) 16 Alloy,2019,Petrol,21866,Singasandra,Moderate,7.65
130,Toyota,Corolla Altis 1.8 J,2009,Petrol,76774,Singasandra,Old,3.95
131,Tata,Harrier XT Plus,2020,Diesel,34873,Singasandra,Moderate,18.45
132,Volkswagen,T-Roc 1.5 TSI,2020,Petrol,36769,Singasandra,Moderate,19.65
133,Jeep,Compass Limited Plus Diesel 4x4,2019,Diesel,35356,Singasandra,Moderate,18.65
134,Hyundai,i20 Sportz 1.2 MT,2021,Petrol,29070,Singasandra,Moderate,7.5
135,Hyundai,Elantra SX (O) 2.0 AT,2017,Petrol,43476,Singasandra,Moderate,11.99
136,BMW,5 Series 520d M Sport,2023,Diesel,20560,BTM Layout,New,69.75
137,Audi,Q3 30 TFSI Premium,2018,Petrol,47720,BTM Layout,Moderate,25.75
138,Honda,CR-V 2.4 AT,2016,Petrol,60900,BTM Layout,Old,14.85
139,BMW,X3 xDrive20d Luxury Edition,2022,Diesel,14892,BTM Layout,New,69.99
140,Audi,A4 2.0 TDI (143 bhp),2012,Diesel,66815,BTM Layout,Old,9.99999
141,BMW,X1 sDrive20i SportX,2021,Petrol,3366,BTM Layout,Moderate,39.75
142,Volvo,XC40 D4 R-Design,2018,Diesel,33200,BTM Layout,Moderate,38.99
143,Hyundai,Grand i10 Nios Sportz 1.2 Kappa VTVT,2022,Petrol,25927,BTM Layout,New,7.35
144,BMW,3 Series 320d Highline Sedan,2010,Diesel,65150,Binnamangala,Old,8.9
145,Kia,Sonet HTX 1.5,2022,Diesel,48656,Singasandra,New,11.65
146,Hyundai,Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,2022,Petrol,16547,Singasandra,New,7.65
147,Hyundai,i20 Asta (O) 1.2 MT,2020,Petrol,21635,Singasandra,Moderate,8.95
148,Volkswagen,Vento Comfortline 1.2 (P) AT,2016,Petrol,38000,Singasandra,Old,6.99
149,Skoda,Slavia Style 1.5L TSI DSG,2023,Petrol,12692,BTM Layout,New,18.75
150,Maruti Suzuki,Baleno Zeta MT,2022,Petrol,15446,Singasandra,New,8.45
151,Hyundai,Creta SX (O) 1.5 Diesel Automatic,2020,Diesel,31092,Singasandra,Moderate,17.45
152,Hyundai,i20 Active 1.2 SX,2016,Petrol,65947,Singasandra,Old,6.45
153,Volkswagen,Taigun Highline 1.0 TSI AT,2022,Petrol,33834,Singasandra,New,14.45
154,Hyundai,Creta SX 1.6 AT Petrol,2018,Petrol,40377,Singasandra,Moderate,12.85
155,Tata,Tigor Revotron XE,2017,Petrol,14854,Singasandra,Moderate,4.99
156,Skoda,Rapid TSI Active 1.0 TSI MT,2021,Petrol,23300,Singasandra,Moderate,8.95
157,Honda,City V,2018,Petrol,62905,Singasandra,Moderate,7.99
158,Skoda,Octavia 1.8 TSI Style Plus AT,2018,Petrol,60184,Singasandra,Moderate,15.85
159,Hyundai,Creta S Plus 1.4 Turbo DCT Dual Tone,2022,Petrol,20012,Singasandra,New,16.45
160,Honda,City 4th Generation V CVT Petrol,2017,Petrol,26643,Singasandra,Moderate,8.99
161,Kia,Carens Luxury Plus 1.4 Petrol DCT 6 STR,2022,Petrol,18085,Singasandra,New,18.4
162,Hyundai,Verna SX Plus 1.6 VTVT AT,2019,Petrol,79138,Anand Nagar,Moderate,10.75
163,Audi,Q5 45 TFSI Premium Plus,2018,Petrol,21715,BTM Layout,Moderate,44.75
164,Mercedes-Benz,GLS 350 d,2018,Diesel,78065,BTM Layout,Moderate,64.75
165,Toyota,Fortuner Legender 2.8 4X2 AT,2022,Diesel,47905,BTM Layout,New,47.75
166,Land Rover,Discovery Sport HSE 7-Seater,2018,Diesel,39477,BTM Layout,Moderate,43.75
167,BMW,X3 xDrive30d,2014,Diesel,67629,BTM Layout,Old,22.5
168,Hyundai,Alcazar Platinum (O) 6 STR 2.0 Petrol AT,2022,Petrol,21350,Singasandra,New,17.99
169,Hyundai,Verna SX 1.5 MPi,2021,Petrol,26769,Singasandra,Moderate,11.45
170,Maruti Suzuki,XL6 Zeta AT Petrol,2020,Petrol,20914,Singasandra,Moderate,10.99
171,Skoda,Rapid Ambition 1.6 MPI,2017,Petrol,21053,Singasandra,Moderate,7.99
172,Honda,City 4th Generation ZX CVT Petrol,2020,Petrol,30759,Singasandra,Moderate,13.95
173,Renault,Kwid 1.0 RXT AMT Opt,2019,Petrol,44610,Singasandra,Moderate,3.99
174,Hyundai,Grand i10 Nios Magna AMT 1.2 Kappa VTVT,2020,Petrol,33269,Singasandra,Moderate,6.95
175,Nissan,Kicks XV 1.5,2019,Petrol,19193,Singasandra,Moderate,8.45
176,Jeep,Compass Model S (O) Diesel 4x4 AT,2023,Diesel,11434,BTM Layout,New,33.75
177,Ford,Endeavour Titanium 3.2 4x4 AT,2016,Diesel,78311,BTM Layout,Old,26.75
178,Jeep,Compass Longitude (O) 1.4 Petrol AT,2020,Petrol,12414,Singasandra,Moderate,15.85
179,Volkswagen,Ameo Highline1.2L (P),2017,Petrol,46397,Singasandra,Moderate,5.99
180,Skoda,Superb L&K TSI AT,2020,Petrol,25653,Singasandra,Moderate,34.65
181,BMW,3 Series Gran Limousine 330Li M Sport First Edition,2022,Petrol,19394,Singasandra,New,54.65
182,Hyundai,Venue SX Plus 1.0 Turbo DCT,2019,Petrol,30156,Singasandra,Moderate,10.95
183,Jeep,Compass Limited Plus Petrol AT,2019,Petrol,40254,Singasandra,Moderate,15.95
184,MG,Hector Plus Sharp 1.5 Petrol Turbo CVT 6-STR,2021,Petrol,29808,Singasandra,Moderate,18.45
185,BMW,X1 sDrive20d Expedition,2017,Diesel,39854,BTM Layout,Moderate,24.85
186,Kia,Seltos GTX Plus 1.4,2022,Petrol,18460,Singasandra,New,16.85
187,Hyundai,Grand i10 Magna 1.2 Kappa VTVT,2016,Petrol,50644,Singasandra,Old,4.45
188,Renault,Triber RXZ,2019,Petrol,25743,Singasandra,Moderate,6.75
189,Volkswagen,Taigun Comfortline 1.0 TSI MT,2022,Petrol,12697,Singasandra,New,10.85
190,Hyundai,Elite i20 Era 1.2,2015,Petrol,69442,Singasandra,Old,5.45
191,Jeep,Compass Limited Plus Petrol AT,2019,Petrol,37925,Singasandra,Moderate,17.85
192,Volvo,V40 Cross Country D3 Inscription,2017,Diesel,59000,Binnamangala,Moderate,17.25
